model,split,train_time_s,best_epoch,n_train,n_test
elasticnet,random,59.0,N/A,282299,35288
elasticnet,scaffold,59.0,N/A,282301,35285
elasticnet,target,49.8,N/A,251532,35531
esm_fp_mlp,random,228.9,50,282299,35288
esm_fp_mlp,scaffold,156.0,28,282301,35285
esm_fp_mlp,target,44.0,2,251532,35531
fusion,random,1551.4,98,282299,35288
fusion,scaffold,1178.4,61,282301,35285
fusion,target,683.0,30,251532,35531
gnn,random,1410.9,88,282299,35288
gnn,scaffold,1031.9,59,282301,35285
gnn,target,341.6,10,251532,35531
mlp,random,646.7,N/A,282299,35288
mlp,scaffold,704.1,N/A,282301,35285
mlp,target,599.2,N/A,251532,35531
random_forest,random,86.6,N/A,282299,35288
random_forest,scaffold,88.4,N/A,282301,35285
random_forest,target,76.3,N/A,251532,35531
xgboost,random,112.5,N/A,282299,35288
xgboost,scaffold,110.9,N/A,282301,35285
xgboost,target,96.5,N/A,251532,35531
