model,split,metric,mean,std,min,max,n_seeds
random_forest,random,rmse,0.8185853968596699,0.0001457797319823993,0.8184277429044432,0.8187891777294125,5
random_forest,random,mae,0.6321467922719688,0.00013455527630939254,0.6319669451886788,0.6323044792938968,5
random_forest,random,r2,0.5869113715487055,0.0001471350321802096,0.5867056856267423,0.587070482798862,5
random_forest,random,pearson_r,0.7687689187091343,8.182273330731135e-05,0.7686464613535089,0.768858655670155,5
random_forest,random,spearman_rho,0.7535901428247938,5.29802579429792e-05,0.7535442259437145,0.7536758911549243,5
random_forest,random,auroc,0.8645986261182136,9.116927689125017e-05,0.8645096957731269,0.8646972532897377,5
random_forest,scaffold,rmse,0.9194098592005033,0.00020707232344137003,0.9190855349382903,0.9196512943676882,5
random_forest,scaffold,mae,0.7218971003636493,0.00013893805280675982,0.7217134208215595,0.7220965806095822,5
random_forest,scaffold,r2,0.4774889283044934,0.00023534854093804555,0.477214492789509,0.4778575188029035,5
random_forest,scaffold,pearson_r,0.7121685725226911,0.00020001704488068327,0.7119819990380584,0.7125029757319506,5
random_forest,scaffold,spearman_rho,0.7049120659608266,0.00036041131474159833,0.7044191708552837,0.7053826228290813,5
random_forest,scaffold,auroc,0.8449232587412624,9.785335448573632e-05,0.84478047584332,0.8450432547001568,5
random_forest,target,rmse,1.0664563901138226,0.0015888563800536602,1.0644619281801613,1.0682063693356798,5
random_forest,target,mae,0.8330307941804292,0.0008348446714564359,0.8320310368655693,0.8338668837062583,5
random_forest,target,r2,0.266668587275544,0.002184710202224468,0.264261229564856,0.2694102384225052,5
random_forest,target,pearson_r,0.5207825306665013,0.0019033388534067698,0.5186600886700989,0.5231663672012425,5
random_forest,target,spearman_rho,0.4665972137263766,0.0018861806074105358,0.4647837812805423,0.468877945330528,5
random_forest,target,auroc,0.7067043566249741,0.0013284940027863438,0.7054123993090218,0.7082410197885609,5
xgboost,random,rmse,0.8937426696905337,0.0005976259697739465,0.8929666271446367,0.8945367487453736,5
xgboost,random,mae,0.7099825685299066,0.0005227642425201013,0.709141824144563,0.7105882491442115,5
xgboost,random,r2,0.507574670447535,0.0006585615084303188,0.5066994308270257,0.5084296272200879,5
xgboost,random,pearson_r,0.7173768531925773,0.0005530190793408555,0.7165937210507045,0.7180399825631152,5
xgboost,random,spearman_rho,0.6961411107891049,0.0005072564379182898,0.6957195787957471,0.6967427773149308,5
xgboost,random,auroc,0.8335560689937391,0.00039009051086462496,0.8332577050333596,0.8341727474797022,5
xgboost,scaffold,rmse,0.9577622752983336,0.001811032166437416,0.9561031339305891,0.9608327185241855,5
xgboost,scaffold,mae,0.7556665226951227,0.0010417026296798565,0.7541947370495814,0.7570662235663258,5
xgboost,scaffold,r2,0.43298589484682337,0.0021463432148452,0.4293461741044059,0.43495029821000375,5
xgboost,scaffold,pearson_r,0.666516501557491,0.0016658501902756659,0.6636743972703316,0.667926839554611,5
xgboost,scaffold,spearman_rho,0.6440772198651812,0.002216454400437443,0.6405301695940878,0.6464793427483181,5
xgboost,scaffold,auroc,0.8140875419453547,0.001982451462074702,0.8117425035354249,0.8163448453883676,5
xgboost,target,rmse,1.1310584194334627,0.004374560810472129,1.1238361298094115,1.1354859610135364,5
xgboost,target,mae,0.8875166869815267,0.00262610027255557,0.882874479122433,0.8892043426797718,5
xgboost,target,r2,0.17512415383682026,0.006370305036103286,0.16866349007623316,0.18563463325322427,5
xgboost,target,pearson_r,0.4319824665580706,0.005766982978000422,0.4264404552274181,0.4415988287946229,5
xgboost,target,spearman_rho,0.3958314874104964,0.004438049711920308,0.3933823545799551,0.4037332293534569,5
xgboost,target,auroc,0.6637520906471596,0.002383915194259361,0.6616788966281224,0.6678313922886902,5
elasticnet,random,rmse,1.2736454240341584,0.0,1.2736454240341584,1.2736454240341584,5
elasticnet,random,mae,1.0488559565163698,0.0,1.0488559565163698,1.0488559565163698,5
elasticnet,random,r2,-2.837387255838486e-05,0.0,-2.837387255838486e-05,-2.837387255838486e-05,5
elasticnet,random,auroc,0.5,0.0,0.5,0.5,5
elasticnet,scaffold,rmse,1.2737560598453788,0.0,1.2737560598453788,1.2737560598453788,5
elasticnet,scaffold,mae,1.0426368773357482,0.0,1.0426368773357482,1.0426368773357482,5
elasticnet,scaffold,r2,-0.002881668305093843,0.0,-0.002881668305093843,-0.002881668305093843,5
elasticnet,scaffold,auroc,0.5,0.0,0.5,0.5,5
elasticnet,target,rmse,1.2672582440913933,0.0,1.2672582440913933,1.2672582440913933,5
elasticnet,target,mae,1.045044841497719,0.0,1.045044841497719,1.045044841497719,5
elasticnet,target,r2,-0.035484413704810924,0.0,-0.035484413704810924,-0.035484413704810924,5
elasticnet,target,auroc,0.5,0.0,0.5,0.5,5
mlp,random,rmse,0.8265445737085398,0.0018038842102583805,0.8241790625409574,0.8286902383789421,5
mlp,random,mae,0.6255336528293858,0.0018463114087456142,0.6234639216974133,0.6275909359651168,5
mlp,random,r2,0.5788377315207358,0.0018379386263919035,0.576649877890149,0.5812465498571252,5
mlp,random,pearson_r,0.7625676114909252,0.0011943466011857084,0.7608936926975799,0.7638440184246967,5
mlp,random,spearman_rho,0.7442724437417699,0.0012501937456280993,0.742743534112474,0.7460762789815691,5
mlp,random,auroc,0.8584921402130344,0.0008572290064624613,0.8574911489955375,0.8597765893412249,5
mlp,scaffold,rmse,0.9012385252364679,0.0029938850800186787,0.8973850841019092,0.9053428304947396,5
mlp,scaffold,mae,0.6944093347635578,0.00233055213770269,0.6910358357031428,0.6968465085388861,5
mlp,scaffold,r2,0.4979343638312689,0.003336395107106007,0.4933555378001926,0.5022229611819363,5
mlp,scaffold,pearson_r,0.7073620995792227,0.002022207672696002,0.7045462225382731,0.7102365522475566,5
mlp,scaffold,spearman_rho,0.6917120380340569,0.002070028649642303,0.6887873128653338,0.6945608057400361,5
mlp,scaffold,auroc,0.8426677733814824,0.0012686180818347506,0.8411128220697217,0.8444714041592813,5
mlp,target,rmse,1.1047443397347012,0.011944151566584535,1.0901649581443673,1.1191577521806544,5
mlp,target,mae,0.8612160009621425,0.007404153172192686,0.8511732672961709,0.8696996828463708,5
mlp,target,r2,0.21299499052233023,0.017014619492343258,0.1924007062518419,0.23370189415501574,5
mlp,target,pearson_r,0.5149401788880074,0.010898584406085397,0.5007688229241707,0.526938001614831,5
mlp,target,spearman_rho,0.4645835509611859,0.01180409198425758,0.4496723236539757,0.4766562528220751,5
mlp,target,auroc,0.712484676214223,0.007127315007385546,0.7045059628897974,0.7190677219752266,5
esm_fp_mlp,random,rmse,0.7774292411342585,0.0017763393626347144,0.7749269283481509,0.7795092686656533,5
esm_fp_mlp,random,mae,0.5855120414463038,0.002709028160716521,0.5839493022676336,0.5903021839403614,5
esm_fp_mlp,random,r2,0.6274034719084505,0.001702077395072831,0.6254085902473294,0.629799712086289,5
esm_fp_mlp,random,pearson_r,0.7924797157478839,0.0011884150124085897,0.7909279860714749,0.7940964675606678,5
esm_fp_mlp,random,spearman_rho,0.7753079531560937,0.0010436957372514113,0.7739299414918082,0.7767570017430192,5
esm_fp_mlp,random,auroc,0.8731648495483372,0.0015238906963747187,0.8705147781350232,0.8742667019565874,5
esm_fp_mlp,scaffold,rmse,0.9023324341428933,0.004170566649686077,0.8982313735469144,0.9075133040625009,5
esm_fp_mlp,scaffold,mae,0.6887606010555934,0.0055901830262883746,0.6832815096772594,0.6968465196118403,5
esm_fp_mlp,scaffold,r2,0.4967106597177007,0.00465489938117879,0.4909233537110691,0.5012836417488706,5
esm_fp_mlp,scaffold,pearson_r,0.7069677311424056,0.00398637041944656,0.7014457409468624,0.7100379990896506,5
