model,split,features,train_time_seconds,n_train,n_val,n_test,val_rmse,val_mae,val_r2,val_pearson_r,val_spearman_rho,test_rmse,test_mae,test_r2,test_pearson_r,test_spearman_rho,test_auroc,test_auprc,test_precision_at_100,test_precision_at_500,test_ef_1pct,test_ef_5pct
random_forest,random,morgan_fingerprint,87.2,282299,35287,35288,0.8122917718187431,0.6265167568703606,0.594467270420351,0.7737340220652136,0.7589383557224364,0.8184657982877056,0.6319669451886788,0.5870320809814402,0.7688266511471065,0.7536758911549243,0.8645136633184785,0.9526843743663943,1.0,0.998,1.296828488478924,1.2902120165989295
random_forest,scaffold,morgan_fingerprint,88.7,282301,35288,35285,0.9198057846986957,0.7260476702596881,0.4768202495095619,0.705028887177923,0.6913529041634795,0.9194385898641529,0.721843581242396,0.4774562930739389,0.7121770377688712,0.7050636380795613,0.8448891490934565,0.9528855369728372,1.0,1.0,1.2576184196457212,1.255479612809589
random_forest,target,morgan_fingerprint,76.2,251532,65811,35531,1.1882680264760932,0.9419287363588783,0.14933783805470469,0.45361476076880486,0.4451767181790711,1.0674024734040686,0.8338668837062583,0.2653681970307863,0.5196275967922142,0.46489666381980105,0.7058447957776326,0.844068540189254,0.99,0.964,1.3307180982203504,1.375612720343662
xgboost,random,morgan_fingerprint,110.4,282299,35287,35288,0.8864335646245027,0.7050513797238726,0.5170588776157704,0.7243106537409233,0.7016102286102914,0.8934775555453287,0.7100352296338951,0.5078669429964296,0.7177453265898437,0.6967427773149308,0.8337075527872241,0.9416476395479605,1.0,1.0,1.296828488478924,1.2887416895144863
xgboost,scaffold,morgan_fingerprint,103.4,282301,35288,35285,0.9515276562017336,0.7548617316598794,0.44011158088944435,0.6681652406895047,0.6432831703039058,0.9608327185241855,0.7570662235663258,0.4293461741044059,0.6636743972703316,0.6405301695940878,0.8117425035354249,0.9390933132589614,1.0,1.0,1.2576184196457212,1.255479612809589
xgboost,target,morgan_fingerprint,200.8,251532,65811,35531,1.1925526680439467,0.9546356418839106,0.14319216463292994,0.4350939789741485,0.41522585194638145,1.1354859610135364,0.8884638543159343,0.16866349007623316,0.4264404552274181,0.39392548253469056,0.6616788966281224,0.8023686938565056,0.95,0.96,1.3346551340139017,1.278029209289535
elasticnet,random,rdkit_descriptors,60.0,282299,35287,35288,1.275570835490195,1.051435346781324,-2.524774177481426e-05,,,1.2736454240341584,1.0488559565163698,-2.837387255838486e-05,,,0.5,0.7711119927454092,0.65,0.718,0.8731487266179119,0.8572006902303999
elasticnet,scaffold,rdkit_descriptors,60.6,282301,35288,35285,1.2801892581676944,1.0516198341158565,-0.013460930152737527,,,1.2737560598453788,1.0426368773357482,-0.002881668305093843,,,0.5,0.79515374805158,0.67,0.658,0.7645748346709782,0.8398381509879023
elasticnet,target,rdkit_descriptors,52.0,251532,65811,35531,1.291715269223416,1.0597205773065814,-0.005221755791950056,,,1.2672582440913933,1.045044841497719,-0.035484413704810924,,,0.5,0.715487883819763,0.61,0.588,0.8582738029941904,0.8782515994871435
mlp,random,morgan_fingerprint,739.4,282299,35287,35288,0.8219905726408466,0.6211594696857662,0.584725297179606,0.7660114012716543,0.7478015769613265,0.8241790625409574,0.6234639216974133,0.5812465498571252,0.7638440184246967,0.7460762789815691,0.8597765893412249,0.9509332215124259,1.0,0.998,1.2931443166366543,1.2909471801411512
mlp,scaffold,morgan_fingerprint,707.6,282301,35288,35285,0.910405335140658,0.7054047559776152,0.48745943709805895,0.6988767187255274,0.6796090617557249,0.9053428304947396,0.6968465085388861,0.4933555378001926,0.7045462225382731,0.6887873128653338,0.8418947556538542,0.9505750242371629,1.0,1.0,1.2576184196457212,1.2526278703614129
mlp,target,morgan_fingerprint,593.3,251532,65811,35531,1.288695019982615,1.0155202719030159,-0.000526493682635909,0.41101814214195853,0.383606509974312,1.0901649581443673,0.8511732672961709,0.23370189415501574,0.526938001614831,0.47339857399027496,0.7178006211719524,0.8623844426242557,0.94,0.974,1.3543403129816585,1.3748257565448385
