model,split,miscalibration_area,calibration_expected,calibration_observed,uq_pearson_r,uq_pearson_p,uq_spearman_rho,uq_spearman_p,selective_rmse_at_50pct,selective_rmse_at_100pct,selective_improvement_50pct,n_targets_evaluated,per_target_rmse_median,per_target_rmse_mean,per_target_rmse_std,per_target_r2_median,noise_n_clean,noise_n_noisy,noise_clean_rmse,noise_noisy_rmse,noise_rmse_delta
random_forest,random,0.11997253766410416,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.05934028564951258, 0.11896395375198368, 0.18045794604398097, 0.24560757197914304, 0.30965200634776696, 0.3759351620947631, 0.44814101110859217, 0.5230389934255271, 0.6008558150079347, 0.6959589662208117]",0.14517611280647535,1.7743711555405921e-165,0.1421629021546433,1.0765799760971638e-158,0.7599228021832516,0.8184657982877056,0.07152772446561673,271,0.7974339444428156,0.8123467157803179,0.17023185583166958,0.3969536397331451,35097,191,0.8176220865431493,0.9610086963116388,0.1433866097684895
random_forest,scaffold,0.03656846200419955,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.07773841575740399, 0.1548533371120873, 0.23709791696188182, 0.31775542015020547, 0.4026073402295593, 0.490435029049171, 0.5782060365594445, 0.672892163808984, 0.7695904775400312, 0.8708799773274762]",0.3379949492808196,0.0,0.3338835728434856,0.0,0.7221844593092748,0.9194385898641529,0.21453758057296946,214,0.9270790615621147,0.9285389960363444,0.1917283651311506,0.2271517138496985,35129,156,0.918830860224304,1.0473482881377139,0.1285174279134098
random_forest,target,0.165667112713354,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.04860544313416453, 0.09732346401733698, 0.14598519602600546, 0.19957220455376995, 0.25600180124398414, 0.31558357490641975, 0.3769665925529819, 0.44454138639497903, 0.5144240240916382, 0.605921589597816]",0.22086713773031907,0.0,0.2006226745026724,0.0,0.8938920167400044,1.0674024734040686,0.16255392036962357,44,0.9113843202115446,0.9580969303605698,0.27924383210473597,0.1126413349412353,35422,109,1.0669385315521585,1.2087758581453123,0.14183732659315385
xgboost,random,0.017022268708394326,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.09402629789163455, 0.18978122874631603, 0.28485604171389706, 0.3795341192473362, 0.47528905010201766, 0.5695137157107232, 0.6625765132622988, 0.7587565177964181, 0.85136590342326, 0.937117433688506]",0.21967470272306527,0.0,0.19483310098273152,6.532025542740359e-299,0.7816613395808101,0.8934775555453287,0.12514720181893346,271,0.8769147193190808,0.888076236425397,0.16085438908771882,0.27393843876329793,35097,191,0.8928999051525167,0.9939407029239571,0.10104079777144037
xgboost,scaffold,0.0031844590155486827,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.08947144679042086, 0.18072835482499647, 0.27184355958622647, 0.3615417316140003, 0.4508431344764064, 0.5408813943602098, 0.6312880827547116, 0.7222049029332578, 0.8093524160408105, 0.903103301686269]",0.16080720479218458,4.93861051409897e-203,0.15141037821500666,5.750981144171602e-180,0.8815228389555196,0.9608327185241855,0.08254285895934499,214,0.9653613351308352,0.9661084771462255,0.18891583161027412,0.1454607526903871,35129,156,0.9602256942452997,1.0889423035130457,0.12871660926774597
xgboost,target,0.04817688011237303,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.07691874700965354, 0.1491373729982269, 0.22751963074498324, 0.3068869437955588, 0.38774591202048914, 0.47198221271565677, 0.5612563676789283, 0.6543581661084686, 0.7493456418338915, 0.8467253947257325]",0.013555398114581424,0.010613439532642372,0.020787200488492877,8.906334162847524e-05,1.164264051543902,1.1354859610135364,-0.02534429444171926,44,0.9543327216699327,1.0032248394291154,0.2788520065196508,0.06332339832345785,35422,109,1.135356950291931,1.1766619337400102,0.0413049834480792
elasticnet,random,,,,,,,,,,,271,1.2136494258996542,1.2221157604581543,0.22943910603301568,-0.19748488626546767,35097,191,1.2743909474505852,1.128321713182092,-0.14606923426849328
elasticnet,scaffold,,,,,,,,,,,214,1.2000150835504928,1.2365126839200837,0.28295041621099565,-0.2147265739618206,35129,156,1.2742964952343028,1.1455830434424628,-0.12871345179184002
elasticnet,target,,,,,,,,,,,44,1.1848493731917675,1.202437602739379,0.21849309042185988,-0.28509345832891053,35422,109,1.267580152911975,1.15791631518816,-0.10966383772381505
mlp,random,0.25604763916654644,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.03052029018363183, 0.062315801405576965, 0.09351620947630923, 0.12519836771707096, 0.15849580593969623, 0.1947970981636817, 0.23254364089775562, 0.2761278621627749, 0.32733507141237816, 0.395771933801859]",0.07057025941768584,3.3302168622506577e-40,0.05739053548030696,3.863848454281469e-27,0.7857319850889384,0.8241790625409574,0.04664893734801523,271,0.8104325575058162,0.8202407910218444,0.18595792539564215,0.3616316389757387,35097,191,0.8232533653815732,0.9795408041646788,0.15628743878310558
mlp,scaffold,0.2523529184433251,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.029786028057248122, 0.06152756128666572, 0.0944877426668556, 0.12798639648575882, 0.16298710500212554, 0.19838458268386, 0.23704123565254356, 0.2830664588351991, 0.33793396627462097, 0.4116196684143404]",0.06558678072951109,6.026742333949798e-35,0.05731668257360305,4.517067819011436e-27,0.8719142699133272,0.9053428304947396,0.03692364865047293,214,0.9061422690731347,0.9124695959805293,0.19653214262812868,0.23893595980438997,35129,156,0.9048621545837311,1.0077622876873515,0.10290013310362045
mlp,target,0.30092799885375376,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.019672961639132024, 0.0428639779347612, 0.06408488362275196, 0.08603754467929414, 0.10942557203568715, 0.1349807210604824, 0.16225268075764826, 0.19658889420506037, 0.23700430609889955, 0.29343390278911374]",0.12977211297097438,3.01357848240897e-133,0.12577044234895174,3.258136430820303e-125,1.0081332523219517,1.0901649581443673,0.07524705798840436,44,0.9204598785298985,0.9908244822241197,0.29425273500205373,-0.005175953227400887,35422,109,1.0894273109697776,1.3080293043777316,0.21860199340795394
esm_fp_mlp,random,0.16685301209785453,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.0507821355701655, 0.10125255044207662, 0.15141124461573338, 0.20389367490364996, 0.256092722738608, 0.31075719791430517, 0.3697574246202675, 0.4356155066878259, 0.5090965767399682, 0.6026978009521651]",-0.002642002990578746,0.619692500019003,-0.010530395959427766,0.04791401711956515,0.7790128164723495,0.7753475829494287,-0.004727213450486545,271,0.7686620828690917,0.7802053410091448,0.17075599021925303,0.4213482026537464,35097,191,0.774054860297861,0.9844863469109214,0.21043148661306044
esm_fp_mlp,scaffold,0.17508598812268925,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.04747059657078079, 0.09468612724953947, 0.1429786028057248, 0.19311322091540314, 0.24384299277313307, 0.29973076378064334, 0.3574890179963157, 0.4231826555193425, 0.4986254782485475, 0.5933399461527561]",0.020083006925398626,0.00016149076355265117,-0.0003050564176646516,0.954305670767864,0.8750847876933322,0.8972182286770355,0.02466896043378375,214,0.892024922891302,0.9084105183124166,0.20347723967527748,0.21313515431855007,35129,156,0.8961624315733057,1.109674686886464,0.21351225531315832
esm_fp_mlp,target,0.1864146801384706,"[0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.4545454545454545, 0.5454545454545454, 0.6363636363636364, 0.7272727272727272, 0.8181818181818181, 0.9090909090909091]","[0.04387717767583237, 0.08831724409670429, 0.1333764881371197, 0.17987109847738594, 0.22827953055078665, 0.28124736145900764, 0.33871830232754496, 0.4041541189383918, 0.4807069882637697, 0.5856575947763925]",0.0526647217588683,2.971151315340073e-23,0.04541894641738243,1.07664244991343e-17,1.1382202039675675,1.1767250295773355,0.0327220248077823,44,1.0205226558089393,1.0669896908307293,0.3353322771830994,0.05203829109349051,35422,109,1.176916259683204,1.1128413562821795,-0.0640749034010244
